CNN Model,Input Type,Target Type,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
unet,full,multiclass,46,3pm,0.935392439365387,0.7947283983230591,0.8779885768890381,0.8005335927009583,0.8063732385635376,0.6776807308197021,0.8667968511581421,0.8786265254020691,0.6593769788742065,0.7825130820274353,0.6674081087112427,0.6755656599998474,0.5124940276145935,0.7649085521697998
unet,full,multiclass,46,4pm,0.9218210577964784,0.7893790602684021,0.8537585735321045,0.7568698525428772,0.774853527545929,0.644771933555603,0.8951377272605896,0.8549796938896179,0.6520447731018066,0.7448331117630005,0.6088420152664185,0.6324578523635864,0.4757663309574127,0.8101803064346313
unet,full,multiclass,46,5pm,0.9317653775215148,0.7930051684379578,0.8557047843933105,0.7608062028884888,0.7680561542510986,0.6712201833724976,0.8743997812271118,0.8722478747367859,0.6570079326629639,0.7478007078170776,0.6139525175094604,0.6234506368637085,0.5051402449607849,0.7768297791481018
unet,full,multiclass,46,6pm,0.9330697655677797,0.7989370226860046,0.8728078603744507,0.7662531733512878,0.7586003541946411,0.6574079394340515,0.8800463676452637,0.8745368123054504,0.6651915907859802,0.7743204236030579,0.6210781335830688,0.6110846996307373,0.4896557927131653,0.7857881784439087
unet,full,multiclass,46,7pm,0.9322040677070618,0.7869044542312622,0.8586500883102417,0.755615234375,0.7302492260932922,0.6553264260292053,0.8451764583587646,0.8730170726776123,0.6486747860908508,0.7523110508918762,0.607219934463501,0.5751122832298279,0.4873498380184173,0.7318663001060486
unet,full,multiclass,46,8pm,0.8718136548995972,0.7011340260505676,0.7076106071472168,0.6152912378311157,0.6986591815948486,0.6704227924346924,0.8888922929763794,0.772756814956665,0.5398046970367432,0.5475212335586548,0.4443470239639282,0.536876380443573,0.5042375922203064,0.8000055551528931
unet,full,multiclass,47,8am,0.921024739742279,0.7851966023445129,0.8469746708869934,0.7316898703575134,0.7271450161933899,0.6047443151473999,0.8912371397018433,0.853610634803772,0.6463569402694702,0.7345672845840454,0.576901376247406,0.5712708830833435,0.4334290027618408,0.8038122057914734
unet,full,multiclass,47,9am,0.9455093145370485,0.8201700448989868,0.8535640239715576,0.7255468368530273,0.7650984525680542,0.6710213422775269,0.8758888840675354,0.8966502547264099,0.6951595544815063,0.7445369958877563,0.5693005323410034,0.6195622682571411,0.5049150586128235,0.779183566570282
unet,full,multiclass,47,10am,0.9369439482688904,0.7984338998794556,0.8543537855148315,0.7252290844917297,0.7517305016517639,0.6281994581222534,0.8620904088020325,0.8813682794570923,0.6644943356513977,0.7457396388053894,0.5689094066619873,0.6022180914878845,0.4579378664493561,0.7576088309288025
unet,full,multiclass,47,11am,0.9418684840202332,0.8016452789306641,0.8590580821037292,0.731980562210083,0.7661011815071106,0.6659328937530518,0.8575097918510437,0.8901242613792419,0.6689549684524536,0.7529376149177551,0.5772628784179688,0.6208783984184265,0.499174952507019,0.7505620121955872
unet,full,multiclass,47,12pm,0.9410328269004822,0.8070852756500244,0.8517292141914368,0.7357087731361389,0.7669855952262878,0.6674505472183228,0.8694352507591248,0.8886326551437378,0.6765657663345337,0.7417494654655457,0.5819140076637268,0.6220411062240601,0.5008823871612549,0.7690274119377136
unet,full,multiclass,47,1pm,0.9376338720321656,0.8099448084831238,0.8802720308303833,0.7848381400108337,0.7872461080551147,0.6482346653938293,0.8822479844093323,0.8825901746749878,0.6805943250656128,0.7861480712890625,0.6458712816238403,0.6491391658782959,0.4795467257499695,0.7893056273460388
unet,full,multiclass,47,2pm,0.9347015619277954,0.8125888109207153,0.8836686611175537,0.7794287204742432,0.7877557277679443,0.6469073295593262,0.8960188627243042,0.8774082064628601,0.6843365430831909,0.7915827631950378,0.6385769248008728,0.6498324871063232,0.4780953824520111,0.8116251826286316
unet,full,multiclass,47,3pm,0.9386006593704224,0.8174763321876526,0.890981912612915,0.7929523587226868,0.8024202585220337,0.6850156784057617,0.8966615796089172,0.884304940700531,0.6912980675697327,0.8033971190452576,0.656935453414917,0.6700349450111389,0.5209306478500366,0.8126804828643799
